"expense_category","household_type","annual_cost","state_name"
"Required annual income after taxes","2 Adults (One Working) 3 Children",47116,"Texas"
"Annual taxes","2 Adults (One Working) 3 Children",5428,"Texas"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52544,"Texas"
"Food","2 Adults",5540,"Texas"
"Child Care","2 Adults",0,"Texas"
"Medical","2 Adults",4962,"Texas"
"Housing","2 Adults",8149,"Texas"
"Transportation","2 Adults",8554,"Texas"
"Other","2 Adults",3916,"Texas"
"Required annual income after taxes","2 Adults",31122,"Texas"
"Annual taxes","2 Adults",3585,"Texas"
"Required annual income before taxes","2 Adults",34707,"Texas"
"Food","2 Adults 1 Child",6898,"Texas"
"Child Care","2 Adults 1 Child",5318,"Texas"
"Medical","2 Adults 1 Child",6534,"Texas"
"Housing","2 Adults 1 Child",10291,"Texas"
"Transportation","2 Adults 1 Child",9859,"Texas"
"Other","2 Adults 1 Child",4284,"Texas"
"Required annual income after taxes","2 Adults 1 Child",43185,"Texas"
"Annual taxes","2 Adults 1 Child",4975,"Texas"
"Required annual income before taxes","2 Adults 1 Child",48160,"Texas"
"Food","2 Adults 2 Children",8903,"Texas"
"Child Care","2 Adults 2 Children",7977,"Texas"
"Medical","2 Adults 2 Children",6597,"Texas"
"Housing","2 Adults 2 Children",10291,"Texas"
"Transportation","2 Adults 2 Children",11553,"Texas"
"Other","2 Adults 2 Children",5178,"Texas"
"Required annual income after taxes","2 Adults 2 Children",50501,"Texas"
"Annual taxes","2 Adults 2 Children",5818,"Texas"
"Required annual income before taxes","2 Adults 2 Children",56318,"Texas"
"Food","2 Adults 3 Children",10835,"Texas"
"Child Care","2 Adults 3 Children",10636,"Texas"
"Medical","2 Adults 3 Children",6564,"Texas"
"Housing","2 Adults 3 Children",13841,"Texas"
"Transportation","2 Adults 3 Children",11037,"Texas"
"Other","2 Adults 3 Children",4838,"Texas"
"Required annual income after taxes","2 Adults 3 Children",57752,"Texas"
"Annual taxes","2 Adults 3 Children",6653,"Texas"
"Required annual income before taxes","2 Adults 3 Children",64405,"Texas"
"Food","1 Adult",3607,"Utah"
"Child Care","1 Adult",0,"Utah"
"Medical","1 Adult",2097,"Utah"
"Housing","1 Adult",6328,"Utah"
"Transportation","1 Adult",4054,"Utah"
"Other","1 Adult",2284,"Utah"
"Required annual income after taxes","1 Adult",18370,"Utah"
"Annual taxes","1 Adult",3035,"Utah"
"Required annual income before taxes","1 Adult",21405,"Utah"
"Food","1 Adult 1 Child",5319,"Utah"
"Child Care","1 Adult 1 Child",5369,"Utah"
"Medical","1 Adult 1 Child",5433,"Utah"
"Housing","1 Adult 1 Child",9451,"Utah"
"Transportation","1 Adult 1 Child",7382,"Utah"
"Other","1 Adult 1 Child",3971,"Utah"
"Required annual income after taxes","1 Adult 1 Child",36926,"Utah"
"Annual taxes","1 Adult 1 Child",6100,"Utah"
"Required annual income before taxes","1 Adult 1 Child",43026,"Utah"
"Food","1 Adult 2 Children",8002,"Utah"
"Child Care","1 Adult 2 Children",8386,"Utah"
"Medical","1 Adult 2 Children",5221,"Utah"
"Housing","1 Adult 2 Children",9451,"Utah"
"Transportation","1 Adult 2 Children",8509,"Utah"
"Other","1 Adult 2 Children",4344,"Utah"
"Required annual income after taxes","1 Adult 2 Children",43914,"Utah"
"Annual taxes","1 Adult 2 Children",7255,"Utah"
"Required annual income before taxes","1 Adult 2 Children",51168,"Utah"
"Food","1 Adult 3 Children",10607,"Utah"
"Child Care","1 Adult 3 Children",11403,"Utah"
"Medical","1 Adult 3 Children",5285,"Utah"
"Housing","1 Adult 3 Children",13388,"Utah"
"Transportation","1 Adult 3 Children",9970,"Utah"
"Other","1 Adult 3 Children",5250,"Utah"
"Required annual income after taxes","1 Adult 3 Children",55905,"Utah"
"Annual taxes","1 Adult 3 Children",9235,"Utah"
"Required annual income before taxes","1 Adult 3 Children",65140,"Utah"
"Food","2 Adults (One Working)",6612,"Utah"
"Child Care","2 Adults (One Working)",0,"Utah"
"Medical","2 Adults (One Working)",4123,"Utah"
"Housing","2 Adults (One Working)",7546,"Utah"
"Transportation","2 Adults (One Working)",7382,"Utah"
"Other","2 Adults (One Working)",3971,"Utah"
"Required annual income after taxes","2 Adults (One Working)",29634,"Utah"
"Annual taxes","2 Adults (One Working)",4896,"Utah"
"Required annual income before taxes","2 Adults (One Working)",34530,"Utah"
"Food","2 Adults (One Working) 1 Child",8234,"Utah"
"Child Care","2 Adults (One Working) 1 Child",0,"Utah"
"Medical","2 Adults (One Working) 1 Child",5221,"Utah"
"Housing","2 Adults (One Working) 1 Child",9451,"Utah"
"Transportation","2 Adults (One Working) 1 Child",8509,"Utah"
"Other","2 Adults (One Working) 1 Child",4344,"Utah"
"Required annual income after taxes","2 Adults (One Working) 1 Child",35759,"Utah"
"Annual taxes","2 Adults (One Working) 1 Child",5907,"Utah"
"Required annual income before taxes","2 Adults (One Working) 1 Child",41666,"Utah"
"Food","2 Adults (One Working) 2 Children",10627,"Utah"
"Child Care","2 Adults (One Working) 2 Children",0,"Utah"
"Medical","2 Adults (One Working) 2 Children",5285,"Utah"
"Housing","2 Adults (One Working) 2 Children",9451,"Utah"
"Transportation","2 Adults (One Working) 2 Children",9970,"Utah"
"Other","2 Adults (One Working) 2 Children",5250,"Utah"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40584,"Utah"
"Annual taxes","2 Adults (One Working) 2 Children",6704,"Utah"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47288,"Utah"
"Food","2 Adults (One Working) 3 Children",12932,"Utah"
"Child Care","2 Adults (One Working) 3 Children",0,"Utah"
"Medical","2 Adults (One Working) 3 Children",5252,"Utah"
"Housing","2 Adults (One Working) 3 Children",13388,"Utah"
"Transportation","2 Adults (One Working) 3 Children",9525,"Utah"
"Other","2 Adults (One Working) 3 Children",4905,"Utah"
"Required annual income after taxes","2 Adults (One Working) 3 Children",46003,"Utah"
"Annual taxes","2 Adults (One Working) 3 Children",7600,"Utah"
"Required annual income before taxes","2 Adults (One Working) 3 Children",53603,"Utah"
"Food","2 Adults",6612,"Utah"
"Child Care","2 Adults",0,"Utah"
"Medical","2 Adults",4123,"Utah"
"Housing","2 Adults",7546,"Utah"
"Transportation","2 Adults",7382,"Utah"
"Other","2 Adults",3971,"Utah"
"Required annual income after taxes","2 Adults",29634,"Utah"
"Annual taxes","2 Adults",4896,"Utah"
"Required annual income before taxes","2 Adults",34530,"Utah"
"Food","2 Adults 1 Child",8234,"Utah"
"Child Care","2 Adults 1 Child",5369,"Utah"
"Medical","2 Adults 1 Child",5221,"Utah"
"Housing","2 Adults 1 Child",9451,"Utah"
"Transportation","2 Adults 1 Child",8509,"Utah"
"Other","2 Adults 1 Child",4344,"Utah"
"Required annual income after taxes","2 Adults 1 Child",41128,"Utah"
"Annual taxes","2 Adults 1 Child",6794,"Utah"
"Required annual income before taxes","2 Adults 1 Child",47922,"Utah"
"Food","2 Adults 2 Children",10627,"Utah"
"Child Care","2 Adults 2 Children",8386,"Utah"
"Medical","2 Adults 2 Children",5285,"Utah"
"Housing","2 Adults 2 Children",9451,"Utah"
"Transportation","2 Adults 2 Children",9970,"Utah"
"Other","2 Adults 2 Children",5250,"Utah"
"Required annual income after taxes","2 Adults 2 Children",48970,"Utah"
"Annual taxes","2 Adults 2 Children",8090,"Utah"
"Required annual income before taxes","2 Adults 2 Children",57060,"Utah"
"Food","2 Adults 3 Children",12932,"Utah"
"Child Care","2 Adults 3 Children",11403,"Utah"
"Medical","2 Adults 3 Children",5252,"Utah"
"Housing","2 Adults 3 Children",13388,"Utah"
"Transportation","2 Adults 3 Children",9525,"Utah"
"Other","2 Adults 3 Children",4905,"Utah"
"Required annual income after taxes","2 Adults 3 Children",57407,"Utah"
"Annual taxes","2 Adults 3 Children",9484,"Utah"
"Required annual income before taxes","2 Adults 3 Children",66890,"Utah"
"Food","1 Adult",3509,"Vermont"
"Child Care","1 Adult",0,"Vermont"
"Medical","1 Adult",2180,"Vermont"
"Housing","1 Adult",8578,"Vermont"
"Transportation","1 Adult",3764,"Vermont"
"Other","1 Adult",2096,"Vermont"
"Required annual income after taxes","1 Adult",20127,"Vermont"
"Annual taxes","1 Adult",3033,"Vermont"
"Required annual income before taxes","1 Adult",23161,"Vermont"
"Food","1 Adult 1 Child",5176,"Vermont"
"Child Care","1 Adult 1 Child",7364,"Vermont"
"Medical","1 Adult 1 Child",6181,"Vermont"
"Housing","1 Adult 1 Child",11938,"Vermont"
"Transportation","1 Adult 1 Child",6855,"Vermont"
"Other","1 Adult 1 Child",3644,"Vermont"
"Required annual income after taxes","1 Adult 1 Child",41157,"Vermont"
"Annual taxes","1 Adult 1 Child",6202,"Vermont"
"Required annual income before taxes","1 Adult 1 Child",47360,"Vermont"
"Food","1 Adult 2 Children",7786,"Vermont"
"Child Care","1 Adult 2 Children",12222,"Vermont"
"Medical","1 Adult 2 Children",5969,"Vermont"
"Housing","1 Adult 2 Children",11938,"Vermont"
"Transportation","1 Adult 2 Children",7901,"Vermont"
"Other","1 Adult 2 Children",3987,"Vermont"
"Required annual income after taxes","1 Adult 2 Children",49802,"Vermont"
"Annual taxes","1 Adult 2 Children",7505,"Vermont"
"Required annual income before taxes","1 Adult 2 Children",57308,"Vermont"
"Food","1 Adult 3 Children",10321,"Vermont"
"Child Care","1 Adult 3 Children",17079,"Vermont"
"Medical","1 Adult 3 Children",6033,"Vermont"
"Housing","1 Adult 3 Children",15153,"Vermont"
"Transportation","1 Adult 3 Children",9258,"Vermont"
"Other","1 Adult 3 Children",4819,"Vermont"
"Required annual income after taxes","1 Adult 3 Children",62663,"Vermont"
"Annual taxes","1 Adult 3 Children",9443,"Vermont"
"Required annual income before taxes","1 Adult 3 Children",72106,"Vermont"
"Food","2 Adults (One Working)",6434,"Vermont"
"Child Care","2 Adults (One Working)",0,"Vermont"
"Medical","2 Adults (One Working)",4844,"Vermont"
"Housing","2 Adults (One Working)",9400,"Vermont"
"Transportation","2 Adults (One Working)",6855,"Vermont"
"Other","2 Adults (One Working)",3644,"Vermont"
"Required annual income after taxes","2 Adults (One Working)",31177,"Vermont"
"Annual taxes","2 Adults (One Working)",4698,"Vermont"
"Required annual income before taxes","2 Adults (One Working)",35875,"Vermont"
"Food","2 Adults (One Working) 1 Child",8011,"Vermont"
"Child Care","2 Adults (One Working) 1 Child",0,"Vermont"
"Medical","2 Adults (One Working) 1 Child",5969,"Vermont"
"Housing","2 Adults (One Working) 1 Child",11938,"Vermont"
"Transportation","2 Adults (One Working) 1 Child",7901,"Vermont"
"Other","2 Adults (One Working) 1 Child",3987,"Vermont"
"Required annual income after taxes","2 Adults (One Working) 1 Child",37806,"Vermont"
"Annual taxes","2 Adults (One Working) 1 Child",5697,"Vermont"
"Required annual income before taxes","2 Adults (One Working) 1 Child",43503,"Vermont"
"Food","2 Adults (One Working) 2 Children",10339,"Vermont"
"Child Care","2 Adults (One Working) 2 Children",0,"Vermont"
"Medical","2 Adults (One Working) 2 Children",6033,"Vermont"
"Housing","2 Adults (One Working) 2 Children",11938,"Vermont"
"Transportation","2 Adults (One Working) 2 Children",9258,"Vermont"
"Other","2 Adults (One Working) 2 Children",4819,"Vermont"
"Required annual income after taxes","2 Adults (One Working) 2 Children",42387,"Vermont"
"Annual taxes","2 Adults (One Working) 2 Children",6388,"Vermont"
"Required annual income before taxes","2 Adults (One Working) 2 Children",48775,"Vermont"
"Food","2 Adults (One Working) 3 Children",12583,"Vermont"
"Child Care","2 Adults (One Working) 3 Children",0,"Vermont"
"Medical","2 Adults (One Working) 3 Children",6000,"Vermont"
"Housing","2 Adults (One Working) 3 Children",15153,"Vermont"
"Transportation","2 Adults (One Working) 3 Children",8845,"Vermont"
"Other","2 Adults (One Working) 3 Children",4502,"Vermont"
"Required annual income after taxes","2 Adults (One Working) 3 Children",47083,"Vermont"
"Annual taxes","2 Adults (One Working) 3 Children",7095,"Vermont"
"Required annual income before taxes","2 Adults (One Working) 3 Children",54178,"Vermont"
"Food","2 Adults",6434,"Vermont"
"Child Care","2 Adults",0,"Vermont"
"Medical","2 Adults",4844,"Vermont"
"Housing","2 Adults",9400,"Vermont"
"Transportation","2 Adults",6855,"Vermont"
"Other","2 Adults",3644,"Vermont"
"Required annual income after taxes","2 Adults",31177,"Vermont"
"Annual taxes","2 Adults",4698,"Vermont"
"Required annual income before taxes","2 Adults",35875,"Vermont"
"Food","2 Adults 1 Child",8011,"Vermont"
"Child Care","2 Adults 1 Child",7364,"Vermont"
"Medical","2 Adults 1 Child",5969,"Vermont"
"Housing","2 Adults 1 Child",11938,"Vermont"
"Transportation","2 Adults 1 Child",7901,"Vermont"
"Other","2 Adults 1 Child",3987,"Vermont"
"Required annual income after taxes","2 Adults 1 Child",45170,"Vermont"
"Annual taxes","2 Adults 1 Child",6807,"Vermont"
"Required annual income before taxes","2 Adults 1 Child",51977,"Vermont"
"Food","2 Adults 2 Children",10339,"Vermont"
"Child Care","2 Adults 2 Children",12222,"Vermont"
"Medical","2 Adults 2 Children",6033,"Vermont"
"Housing","2 Adults 2 Children",11938,"Vermont"
"Transportation","2 Adults 2 Children",9258,"Vermont"
"Other","2 Adults 2 Children",4819,"Vermont"
"Required annual income after taxes","2 Adults 2 Children",54609,"Vermont"
"Annual taxes","2 Adults 2 Children",8230,"Vermont"
"Required annual income before taxes","2 Adults 2 Children",62838,"Vermont"
"Food","2 Adults 3 Children",12583,"Vermont"
"Child Care","2 Adults 3 Children",17079,"Vermont"
"Medical","2 Adults 3 Children",6000,"Vermont"
"Housing","2 Adults 3 Children",15153,"Vermont"
"Transportation","2 Adults 3 Children",8845,"Vermont"
"Other","2 Adults 3 Children",4502,"Vermont"
"Required annual income after taxes","2 Adults 3 Children",64162,"Vermont"
"Annual taxes","2 Adults 3 Children",9669,"Vermont"
"Required annual income before taxes","2 Adults 3 Children",73832,"Vermont"
"Food","1 Adult",3022,"Virginia"
"Child Care","1 Adult",0,"Virginia"
"Medical","1 Adult",2256,"Virginia"
"Housing","1 Adult",10223,"Virginia"
"Transportation","1 Adult",4697,"Virginia"
"Other","1 Adult",2253,"Virginia"
"Required annual income after taxes","1 Adult",22451,"Virginia"
"Annual taxes","1 Adult",3260,"Virginia"
"Required annual income before taxes","1 Adult",25711,"Virginia"
"Food","1 Adult 1 Child",4457,"Virginia"
"Child Care","1 Adult 1 Child",6801,"Virginia"
"Medical","1 Adult 1 Child",6742,"Virginia"
"Housing","1 Adult 1 Child",13010,"Virginia"
"Transportation","1 Adult 1 Child",8554,"Virginia"
"Other","1 Adult 1 Child",3916,"Virginia"
"Required annual income after taxes","1 Adult 1 Child",43481,"Virginia"
"Annual taxes","1 Adult 1 Child",6313,"Virginia"
"Required annual income before taxes","1 Adult 1 Child",49794,"Virginia"
"Food","1 Adult 2 Children",6704,"Virginia"
"Child Care","1 Adult 2 Children",11045,"Virginia"
"Medical","1 Adult 2 Children",6530,"Virginia"
"Housing","1 Adult 2 Children",13010,"Virginia"
"Transportation","1 Adult 2 Children",9859,"Virginia"
"Other","1 Adult 2 Children",4284,"Virginia"
"Required annual income after taxes","1 Adult 2 Children",51434,"Virginia"
"Annual taxes","1 Adult 2 Children",7468,"Virginia"
